2,_,
3,2,1,
4,2,1,_,
5,4,_,_,1,
6,4,2,_,1,_,
7,6,3,2,_,_,1,
8,6,3,_,2,_,1,_,
9,8,5,3,_,2,_,_,1,
10,8,5,_,3,2,_,_,1,_,
11,10,_,5,3,2,_,_,_,_,1,
12,10,_,5,_,3,2,_,_,_,1,_,
13,12,_,_,5,3,_,2,_,_,_,_,1,
14,12,_,_,5,_,3,_,2,_,_,_,1,_,
15,14,_,_,_,5,3,_,_,2,_,_,_,_,1,
16,14,11,10,8,6,_,3,_,2,_,_,_,_,1,_,
17,16,12,10,9,8,5,4,3,2,_,_,_,_,_,_,1,
18,16,13,12,9,8,6,4,3,_,2,_,_,_,_,_,1,_,
19,18,14,12,10,9,7,6,4,3,_,2,_,_,_,_,_,_,1,
20,18,15,14,11,10,7,6,5,4,_,_,2,_,_,_,_,_,1,_,
21,20,16,14,12,10,8,7,5,4,3,_,_,2,_,_,_,_,_,_,1,
22,20,17,16,13,12,9,8,6,5,3,_,_,2,_,_,_,_,_,_,1,_,
23,22,18,16,13,12,10,8,7,6,4,3,_,2,_,_,_,_,_,_,_,_,1,
24,22,19,18,14,13,11,10,7,6,5,4,3,_,2,_,_,_,_,_,_,_,1,_,
25,24,20,18,15,14,12,10,8,7,5,4,3,_,_,2,_,_,_,_,_,_,_,_,1,
26,24,21,20,16,14,13,12,9,8,6,5,_,3,_,_,2,_,_,_,_,_,_,_,1,_,
27,26,21,20,17,16,13,12,10,8,7,6,4,3,_,_,_,2,_,_,_,_,_,_,_,_,1,
28,26,22,21,18,16,14,13,_,10,7,6,5,4,3,_,_,2,_,_,_,_,_,_,_,_,1,_,
29,28,23,22,19,18,_,14,_,10,8,7,5,4,3,_,_,2,_,_,_,_,_,_,_,_,_,_,1,
30,28,24,23,20,18,_,14,_,10,9,8,6,5,_,3,_,_,2,_,_,_,_,_,_,_,_,_,1,_,
31,30,25,24,_,20,_,14,_,10,9,8,7,6,4,_,3,_,_,2,_,_,_,_,_,_,_,_,_,_,1,
32,30,26,24,_,20,_,_,_,11,10,9,7,6,5,4,3,_,_,_,2,_,_,_,_,_,_,_,_,_,1,_,
33,32,27,26,_,22,_,_,_,12,_,10,8,7,5,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,1,
34,32,28,26,_,22,_,_,_,_,12,10,_,8,6,5,4,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,1,_,
35,34,29,28,_,_,_,_,_,14,_,12,_,8,7,6,_,4,3,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,1,
36,34,30,28,_,23,_,_,_,_,_,12,_,8,7,6,5,4,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,1,_,
37,36,31,30,_,_,_,_,_,16,_,_,_,_,8,7,5,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,1,
38,36,32,30,_,_,_,_,_,_,_,_,_,10,_,8,6,5,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,1,_,
39,38,33,32,_,_,_,_,_,_,_,_,_,_,_,8,7,6,_,4,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,1,
40,38,34,32,_,_,_,_,_,_,_,_,_,_,_,8,7,6,5,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
41,40,35,34,_,28,_,23,_,20,_,_,_,_,_,9,8,7,6,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
42,40,36,34,_,29,_,24,_,20,_,_,_,_,_,10,9,8,_,6,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
43,42,37,36,_,30,_,_,_,21,_,_,_,14,_,_,_,8,7,6,_,4,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
44,42,38,36,_,30,_,26,_,_,_,_,_,_,_,_,_,9,_,6,5,4,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
45,44,39,38,_,32,_,_,_,_,_,_,_,16,_,_,_,_,_,7,5,4,_,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
46,44,40,38,_,32,_,28,_,_,_,_,_,_,_,_,_,_,_,7,6,5,4,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
47,46,41,40,_,34,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,6,_,4,_,3,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
48,46,42,40,_,34,_,30,_,_,_,_,_,_,_,_,_,_,_,_,_,6,5,4,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
49,48,43,42,_,36,_,30,_,_,_,_,_,_,_,_,_,_,_,_,_,_,6,_,4,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
50,48,44,42,_,36,_,31,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,6,_,4,3,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
51,50,45,44,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,3,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
52,50,46,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
53,52,47,46,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
54,52,48,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,_,4,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
55,54,49,48,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,3,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
56,54,50,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,_,3,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
57,56,51,50,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,3,_,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
58,56,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,_,4,_,3,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
59,58,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,_,3,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,
60,58,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,5,4,_,_,3,_,_,_,_,_,2,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,_,1,_,
